pregunta,opcion1,opcion2,opcion3,opcion4,correcta,porcentaje_aciertos,cantidad_aciertos,cantidad_fallos,cantidad_preguntada
¿Quién entrena a Gohan en el Más Allá para la Saga de Majin Boo?,Rey Kai,Kami-Sama,Kaioshin,Gokú,Kaioshin,0,0,0,0
¿Cuántas formas tiene Freezer en la Saga de Namek?,Tres,Cuatro,Cinco,Seis,Cuatro,0,0,0,0
¿Qué personaje es conocido por su técnica 'Disco Destructor'?,Krillin,Yamcha,Ten Shin Han,Píccoro,Krillin,0,0,0,0
¿Cómo se llama el papá de Gokú?,Raditz,Bardock,Paragus,Rey Vegeta,Bardock,0,0,0,0
¿Qué personaje absorbe a los Androides 17 y 18?,Cell,Majin Boo,Freezer,Androide 16,Cell,0,0,0,0
¿Cómo se llama el torneo donde Gokú y sus amigos compiten en Dragon Ball?,Torneo de Artes Marciales,Cell Games,Torneo del Más Allá,Torneo de Poder,Torneo de Artes Marciales,0,0,0,0
¿Quién crea a los Androides en Dragon Ball Z?,Dr. Gero,Dr. Brief,Dr. Wheelo,Bulma,Dr. Gero,0,0,0,0
¿Qué transformación alcanza Gokú en su pelea contra Freezer?,Super Saiyajin,Super Saiyajin Dios,Super Saiyajin 2,Ultra Instinto,Super Saiyajin,0,0,0,0
¿Cómo se llama la fusión entre Gokú y Vegeta usando los Aretes Potara?,Gogeta,Vegito,Gotrunks,Gotenks,Vegito,0,0,0,0
¿Qué personaje es conocido por su técnica 'Cañón Garlick'?,Vegeta,Píccoro,Nappa,Raditz,Vegeta,0,0,0,0
¿En qué saga aparece por primera vez Trunks?,Saga de los Saiyajin,Saga de Freezer,Saga de Cell,Saga de Majin Boo,Saga de Cell,0,0,0,0
¿Qué personaje usa una espada para pelear en la Saga de Cell?,Trunks,Gokú,Vegeta,Yamcha,Trunks,0,0,0,0
¿Qué personaje se sacrifica para intentar detener a Gohan?,Gokú,Vegeta,Píccoro,Ten Shin Han,Gokú,0,0,0,0
¿Cómo se llama el hermano mayor de Gokú?,Raditz,Nappa,Vegeta,Broly,Raditz,0,0,0,0
¿Quién entrena a Gokú en el uso del Kaioken?,Rey Kai,Maestro Roshi,Karin,Kami-Sama,Rey Kai,0,0,0,0
¿Qué forma de Majin Boo es la más poderosa?,Boo Gordo,Súper Boo,Boo Niño,Boo Malvado,Boo Niño,0,0,0,0
¿Qué personaje es conocido por su técnica 'Kikoho'?,Krillin,Ten Shin Han,Yamcha,Chaoz,Ten Shin Han,0,0,0,0
¿Qué personaje destruye la Tierra en la Saga de Majin Boo?,Gokú,Vegeta,Boo Niño,Súper Boo,Boo Niño,0,0,0,0
¿En qué planeta entrena Gokú con el Rey Kai?,Tierra,Namek,Planeta Kai,Yardrat,Planeta Kai,0,0,0,0
¿Qué técnica usa Gokú para derrotar a Freezer en Namek?,Kamehameha,Genkidama,Kaioken,Teletransportación,Genkidama,0,0,0,0
¿Quién es el líder de las Fuerzas Ginyu?,Recoome,Jeice,Ginyu,Guldo,Ginyu,0,0,0,0
¿Cómo se llama la nave espacial de Freezer?,Gran Saiyaman,Cooler,Nave Madre,Cápsula Espacial,Nave Madre,0,0,0,0
¿Qué técnica usa Píccoro contra Raditz?,Kamehameha,Masenko,Rayo Especial,Onda Demoníaca,Rayo Especial,0,0,0,0
¿Quién es el mentor de Vegeta en la Saga de los Saiyajin?,Nappa,Raditz,Freezer,Zarbon,Freezer,0,0,0,0
¿Cómo se llama el ataque combinado de Goten y Trunks?,Destello Final,Masenko,Danza de Fusión,Kamehameha Doble,Danza de Fusión,0,0,0,0
¿Qué personaje de las Fuerzas Ginyu puede detener el tiempo?,Guldo,Burter,Jeice,Recoome,Guldo,0,0,0,0
¿En qué planeta aprende Gokú la Teletransportación?,Namek,Yardrat,Vegeta,Planeta Kai,Yardrat,0,0,0,0
¿Qué personaje corta a Freezer con su propia técnica en Namek?,Gokú,Vegeta,Trunks,Krillin,Krillin,0,0,0,0
¿Qué ataque usa Gohan contra Súper Boo?,Kamehameha,Masenko,Rayo Especial,Onda Demoníaca,Masenko,0,0,0,0
¿Quién es el primer personaje en alcanzar el Super Saiyajin 2?,Gokú,Vegeta,Gohan,Trunks,Gohan,0,0,0,0
¿Qué dragón revive a Gokú con las Esferas del Dragón en la Saga de Freezer?,Polunga,Shenlong,Señor Popo,Dende,Polunga,0,0,0,0
¿Cómo se llama el hermano de Freezer?,Cooler,Rey Cold,Frost,Chilled,Cooler,0,0,0,0
¿Qué técnica usa Yamcha contra los Saibamen?,Kamehameha,Puño del Lobo,Bola Espiritual,Disco Destructor,Bola Espiritual,0,0,0,0
¿Quién crea el Cell Games?,Cell,Freezer,Dr. Gero,Majin Boo,Cell,0,0,0,0
¿Qué personaje ayuda a Gohan a alcanzar el Super Saiyajin 2?,Gokú,Vegeta,Píccoro,Androide 16,Androide 16,0,0,0,0
¿Qué ataque usa Vegeta contra Cell Perfecto?,Ataque Big Bang,Destello Final,Cañón Garlick,Disco Destructor,Destello Final,0,0,0,0
¿Qué personaje es absorbido por Súper Boo para crear su forma más poderosa?,Gohan,Gotenks,Vegeta,Píccoro,Gohan,0,0,0,0
¿En qué saga usa Vegeta por primera vez el Ataque Big Bang?,Saga de Freezer,Saga de Cell,Saga de los Androides,Saga de Majin Boo,Saga de los Androides,0,0,0,0
¿Qué personaje destruye al Androide 16?,Cell,Gohan,Vegeta,Trunks,Cell,0,0,0,0
¿Cómo se llama el torneo donde Gokú enfrenta a Píccoro en Dragon Ball?,Torneo 21,Torneo 22,Torneo 23,Torneo 24,Torneo 23,0,0,0,0
¿Cuál es el primer deseo concedido por Shenlong?,Ropa de Bulma,Dinero,Fuerza,Un Novio,Ropa de Bulma,0,0,0,0
